,M1,M2,M3,M4,all_cooc
aeque,10.0,11.0,1.0,,22.0
aequus,16.0,12.0,3.0,1.0,32.0
aptus,2.0,9.0,2.0,,13.0
certe,28.0,19.0,3.0,1.0,51.0
certus,45.0,44.0,10.0,1.0,100.0
debeo,79.0,87.0,16.0,5.0,187.0
decet,2.0,4.0,,,6.0
dubie,1.0,,,,1.0
dubius,15.0,13.0,3.0,,31.0
facultas,19.0,18.0,3.0,1.0,41.0
forsitan,,3.0,1.0,1.0,5.0
fortasse,19.0,11.0,2.0,1.0,33.0
forte,15.0,4.0,,,19.0
incertus,13.0,7.0,1.0,,21.0
iniquus,6.0,11.0,1.0,,18.0
ius sum,1.0,,,,1.0
licet,40.0,37.0,5.0,1.0,83.0
meum sum,1.0,,,,1.0
necessario,10.0,8.0,1.0,1.0,20.0
necessarius,31.0,16.0,4.0,,51.0
necesse habeo,,1.0,,,1.0
necesse sum,18.0,14.0,5.0,1.0,38.0
necessitas,10.0,4.0,2.0,1.0,17.0
necessitudo,23.0,9.0,,,32.0
oportet,81.0,45.0,1.0,1.0,128.0
opus sum,17.0,14.0,6.0,1.0,38.0
possum,336.0,423.0,68.0,10.0,837.0
potestas,21.0,36.0,8.0,,65.0
probabiliter,2.0,,,,2.0
queo,1.0,,,,1.0
usus sum,5.0,5.0,1.0,1.0,12.0
valet,1.0,3.0,1.0,,5.0
