,M1,M2,M3,M4,all_cooc,M1_tot,M2_tot,M3_tot,M4_tot,M5_tot,M6_tot,M7_tot,all_corpus,rel_freq
aequus,1.0,,,,1.0,100,12.0,3.0,,,,,115.0,0.008695652173913044
aptus,,3.0,,,3.0,43,9.0,2.0,,,,,54.0,0.05555555555555555
certe,22.0,11.0,,,33.0,151,20.0,3.0,1.0,,,,175.0,0.18857142857142858
certus,3.0,1.0,,,4.0,302,44.0,9.0,1.0,,,,356.0,0.011235955056179775
debeo,62.0,61.0,1.0,,124.0,565,92.0,13.0,6.0,,,,676.0,0.1834319526627219
decet,1.0,1.0,,,2.0,25,4.0,,,,,,29.0,0.06896551724137931
dubius,5.0,8.0,,,13.0,62,13.0,3.0,1.0,1.0,,,80.0,0.1625
facultas,10.0,5.0,,,15.0,93,20.0,3.0,,,,,116.0,0.12931034482758622
forsitan,1.0,1.0,,,2.0,4,3.0,1.0,1.0,,,,9.0,0.2222222222222222
fortasse,18.0,6.0,,,24.0,106,11.0,3.0,,,,,120.0,0.2
forte,10.0,1.0,,,11.0,77,4.0,,,,,,81.0,0.13580246913580246
incertus,,1.0,,,1.0,63,8.0,1.0,,,,,72.0,0.013888888888888888
iniquus,,1.0,,,1.0,46,11.0,1.0,,,,,58.0,0.017241379310344827
licet,41.0,32.0,2.0,,75.0,298,35.0,3.0,1.0,,,,337.0,0.22255192878338279
necessario,7.0,6.0,,,13.0,42,9.0,2.0,1.0,,,,54.0,0.24074074074074073
necessarius,3.0,2.0,,,5.0,134,14.0,4.0,,,,,152.0,0.03289473684210526
necesse sum,12.0,18.0,,,30.0,126,14.0,4.0,,,,,144.0,0.20833333333333334
necessitas,1.0,1.0,,,2.0,62,4.0,3.0,,,,,69.0,0.028985507246376812
oportet,75.0,39.0,,,114.0,443,45.0,1.0,1.0,,,,490.0,0.23265306122448978
opus sum,8.0,6.0,,,14.0,128,15.0,6.0,,,,,149.0,0.09395973154362416
possum,295.0,367.0,6.0,,668.0,3056,430.0,64.0,9.0,,1.0,1.0,3561.0,0.18758775624824486
potestas,2.0,8.0,,,10.0,177,37.0,7.0,,,,,221.0,0.04524886877828054
probabiliter,1.0,,,,1.0,1,1.0,,,,,,2.0,0.5
queo,1.0,,,,1.0,15,,,,,,,15.0,0.06666666666666667
